[0, 0.0]
[241, 0.021515607833862305]
[242, 0.012006521224975586]
[243, 0.01701211929321289]
[244, 0.02701878547668457]
[245, 0.01250910758972168]
[246, 0.04002785682678223]
[247, 0.017012357711791992]
[248, 0.02902054786682129]
[249, 0.017511606216430664]
[250, 0.019514083862304688]
[251, 0.017012357711791992]
[252, 0.04252982139587402]
[253, 0.014509916305541992]
[254, 0.009005546569824219]
[255, 0.009507179260253906]
[256, 0.009006023406982422]
[257, 0.009505987167358398]
[258, 0.009506940841674805]
[259, 0.011008262634277344]
[260, 0.012009143829345703]
[261, 0.010506153106689453]
[262, 0.012027740478515625]
[263, 0.009988546371459961]
[264, 0.010524511337280273]
[265, 0.010004758834838867]
[266, 0.01002192497253418]
[267, 0.011021614074707031]
[268, 0.01000666618347168]
[269, 0.010006904602050781]
[270, 0.011006355285644531]
[271, 0.014508724212646484]
[272, 0.0175325870513916]
[273, 0.009503841400146484]
[274, 0.010024547576904297]
[275, 0.010489463806152344]
[276, 0.01000666618347168]
[277, 0.010489702224731445]
[278, 0.010998725891113281]
[279, 0.010508298873901367]
[280, 0.015524625778198242]
[281, 0.010491609573364258]
[282, 0.011008024215698242]
[283, 0.010512113571166992]
[284, 0.01000666618347168]
[285, 0.010507345199584961]
[286, 0.01050710678100586]
[287, 0.011490106582641602]
[288, 0.011006355285644531]
[289, 0.012489557266235352]
[290, 0.011022806167602539]
[291, 0.012990713119506836]
[292, 0.012007713317871094]
[293, 0.012527704238891602]
[294, 0.012002706527709961]
[295, 0.012006759643554688]
[296, 0.012527227401733398]
[297, 0.01250910758972168]
[298, 0.014528274536132812]
[299, 0.011989593505859375]
[300, 0.012079000473022461]
[301, 0.01252603530883789]
[302, 0.012005805969238281]
[303, 0.013509273529052734]
[304, 0.012490987777709961]
[305, 0.014007806777954102]
[306, 0.012509822845458984]
[307, 0.012507915496826172]
[308, 0.013526678085327148]
[309, 0.013994216918945312]
[310, 0.01602959632873535]
[311, 0.013008832931518555]
[312, 0.013529062271118164]
[313, 0.012991189956665039]
[314, 0.013527154922485352]
[315, 0.014010190963745117]
[316, 0.015514850616455078]
[317, 0.013992071151733398]
[318, 0.014028549194335938]
[319, 0.013491153717041016]
[320, 0.01302790641784668]
[321, 0.013505220413208008]
[322, 0.013509273529052734]
[323, 0.014009475708007812]
[324, 0.013491153717041016]
[325, 0.016011476516723633]
[326, 0.021515846252441406]
[327, 0.014527320861816406]
[328, 0.01899433135986328]
[329, 0.020014047622680664]
[330, 0.025516748428344727]
[331, 0.016011476516723633]
[332, 0.016510963439941406]
[333, 0.016009807586669922]
[334, 0.015011072158813477]
[335, 0.015510082244873047]
[336, 0.015027999877929688]
[337, 0.01549220085144043]
[338, 0.015511035919189453]
[339, 0.025999784469604492]
[340, 0.017995595932006836]
[341, 0.017012834548950195]
[342, 0.019515037536621094]
[343, 0.020015239715576172]
[344, 0.0165097713470459]
[345, 0.02001500129699707]
[346, 0.0165102481842041]
[347, 0.016529560089111328]
[348, 0.016008853912353516]
[349, 0.016012191772460938]
[350, 0.016009092330932617]
[351, 0.01751255989074707]
[352, 0.020995378494262695]
[353, 0.01751399040222168]
[354, 0.01649332046508789]
[355, 0.015529870986938477]
[356, 0.016992807388305664]
[357, 0.018532514572143555]
[358, 0.0170133113861084]
[359, 0.01649165153503418]
[360, 0.017512083053588867]
[361, 0.016512632369995117]
[362, 0.018010854721069336]
[363, 0.01851487159729004]
[364, 0.017510414123535156]
[365, 0.016531705856323242]
[366, 0.025998830795288086]
[367, 0.018491268157958984]
[368, 0.017511606216430664]
[369, 0.018030405044555664]
[370, 0.018013477325439453]
[371, 0.019031047821044922]
[372, 0.020502805709838867]
[373, 0.018512964248657227]
[374, 0.018514633178710938]
[375, 0.017511606216430664]
[376, 0.01801133155822754]
[377, 0.020003795623779297]
[378, 0.03252267837524414]
[379, 0.0190126895904541]
[380, 0.019014596939086914]
[381, 0.020012617111206055]
[382, 0.019031047821044922]
[383, 0.020513296127319336]
[384, 0.020016908645629883]
[385, 0.019513607025146484]
[386, 0.02101302146911621]
[387, 0.022535085678100586]
[388, 0.021014928817749023]
[389, 0.028502225875854492]
[390, 0.02101421356201172]
[391, 0.02049565315246582]
[392, 0.022034883499145508]
[393, 0.021515369415283203]
[394, 0.02103281021118164]
[395, 0.02551555633544922]
[396, 0.0215151309967041]
[397, 0.021514177322387695]
[398, 0.021014690399169922]
[399, 0.023017168045043945]
[400, 0.03152179718017578]
[401, 0.022533416748046875]
[402, 0.021495342254638672]
[403, 0.026522159576416016]
[404, 0.027518033981323242]
[405, 0.02751898765563965]
[406, 0.02703714370727539]
[407, 0.02651667594909668]
[408, 0.026019573211669922]
[409, 0.03502511978149414]
[410, 0.025518417358398438]
[411, 0.027520418167114258]
[412, 0.02701878547668457]
[413, 0.030523300170898438]
[414, 0.0290219783782959]
[415, 0.02601933479309082]
[416, 0.029021024703979492]
[417, 0.04153037071228027]
[418, 0.02951979637145996]
[419, 0.03152179718017578]
[420, 0.03452253341674805]
[421, 0.024518489837646484]
[422, 0.026018857955932617]
[423, 0.025519132614135742]
[424, 0.02701854705810547]
[425, 0.030519485473632812]
[426, 0.024036645889282227]
[427, 0.02451634407043457]
[428, 0.025499820709228516]
[429, 0.025498628616333008]
[430, 0.026500225067138672]
[431, 0.029018878936767578]
[432, 0.024518251419067383]
[433, 0.02801966667175293]
[434, 0.037525177001953125]
[435, 0.027019977569580078]
[436, 0.026500940322875977]
[437, 0.029001712799072266]
[438, 0.026535749435424805]
[439, 0.02852034568786621]
[440, 0.02551889419555664]
[441, 0.026500940322875977]
[442, 0.0380246639251709]
[443, 0.034505367279052734]
[444, 0.029540300369262695]
[445, 0.026002168655395508]
[446, 0.02651834487915039]
[447, 0.028530359268188477]
[448, 0.02751755714416504]
[449, 0.02553725242614746]
[450, 0.04253029823303223]
[451, 0.027520418167114258]
[452, 0.02953815460205078]
[453, 0.027499914169311523]
[454, 0.029520511627197266]
[455, 0.02901911735534668]
[456, 0.031522274017333984]
[457, 0.032022714614868164]
[458, 0.04204916954040527]
[459, 0.030520200729370117]
[460, 0.030523061752319336]
[461, 0.030524015426635742]
[462, 0.02952122688293457]
[463, 0.033003807067871094]
[464, 0.028518199920654297]
[465, 0.03552579879760742]
[466, 0.03752708435058594]
[467, 0.03252434730529785]
[468, 0.03454279899597168]
[469, 0.03500676155090332]
[470, 0.03304123878479004]
[471, 0.03202199935913086]
[472, 0.043599605560302734]
[473, 0.032022953033447266]
[474, 0.032042503356933594]
[475, 0.03202223777770996]
[476, 0.03252124786376953]
[477, 0.038025856018066406]
[478, 0.03350400924682617]
[479, 0.047033071517944336]
[480, 0.034542083740234375]
[481, 0.036025047302246094]
[482, 0.03503990173339844]
[483, 0.03304028511047363]
[484, 0.03704547882080078]
[485, 0.036529541015625]
[486, 0.04254627227783203]
[487, 0.03754401206970215]
[488, 0.03902888298034668]
[489, 0.03202104568481445]
[490, 0.035025596618652344]
[491, 0.03654789924621582]
[492, 0.04956388473510742]
[493, 0.03752636909484863]
[494, 0.0375058650970459]
[495, 0.03704380989074707]
[496, 0.03602290153503418]
[497, 0.03800773620605469]
[498, 0.04903244972229004]
[499, 0.03650546073913574]
[500, 0.038027048110961914]
[501, 0.03754615783691406]
[502, 0.03702807426452637]
[503, 0.03500676155090332]
[504, 0.05203557014465332]
[505, 0.036528825759887695]
[506, 0.038025856018066406]
[507, 0.03502368927001953]
[508, 0.03552603721618652]
[509, 0.03752875328063965]
[510, 0.03654360771179199]
[511, 0.042510986328125]
[512, 0.035511016845703125]
[513, 0.03704357147216797]
[514, 0.03502297401428223]
[515, 0.05255627632141113]
[516, 0.048035383224487305]
[517, 0.03752589225769043]
[518, 0.03952956199645996]
[519, 0.036043643951416016]
[520, 0.036525726318359375]
[521, 0.036006927490234375]
[522, 0.03752613067626953]
[523, 0.042549848556518555]
[524, 0.03802752494812012]
[525, 0.036507606506347656]
[526, 0.03802680969238281]
[527, 0.04304790496826172]
[528, 0.05201864242553711]
[529, 0.04555058479309082]
[530, 0.044513702392578125]
[531, 0.04002690315246582]
[532, 0.04653215408325195]
[533, 0.07855486869812012]
[534, 0.06354498863220215]
[535, 0.053037405014038086]
[536, 0.04204893112182617]
[537, 0.041510820388793945]
[538, 0.04755258560180664]
[539, 0.04002666473388672]
[540, 0.09556818008422852]
[541, 0.09456682205200195]
[542, 0.04453134536743164]
[543, 0.04252958297729492]
[544, 0.044049978256225586]
[545, 0.04453134536743164]
[546, 0.04853391647338867]
[547, 0.04953289031982422]
[548, 0.04201078414916992]
[549, 0.040547847747802734]
[550, 0.04002976417541504]
[551, 0.04052901268005371]
[552, 0.04601311683654785]
[553, 0.041048288345336914]
[554, 0.059023380279541016]
[555, 0.057538747787475586]
[556, 0.064544677734375]
[557, 0.09856986999511719]
[558, 0.05704045295715332]
[559, 0.043029069900512695]
[560, 0.06454634666442871]
[561, 0.04903411865234375]
[562, 0.05703926086425781]
[563, 0.0480341911315918]
[564, 0.05604076385498047]
[565, 0.04703330993652344]
[566, 0.04503154754638672]
[567, 0.0455319881439209]
[568, 0.047051191329956055]
[569, 0.04803323745727539]
[570, 0.0530552864074707]
[571, 0.04453134536743164]
[572, 0.05253720283508301]
[573, 0.044030189514160156]
[574, 0.044011831283569336]
[575, 0.048535823822021484]
[576, 0.045532941818237305]
[577, 0.050542354583740234]
[578, 0.0455322265625]
[579, 0.045012474060058594]
[580, 0.046051740646362305]
[581, 0.04651474952697754]
[582, 0.04503035545349121]
[583, 0.04503178596496582]
[584, 0.04755449295043945]
[585, 0.04903459548950195]
[586, 0.047533512115478516]
[587, 0.04755258560180664]
[588, 0.04551434516906738]
[589, 0.046532630920410156]
[590, 0.04853391647338867]
[591, 0.04462933540344238]
[592, 0.05153632164001465]
[593, 0.049516916275024414]
[594, 0.04853248596191406]
[595, 0.04851508140563965]
[596, 0.05453777313232422]
[597, 0.05804157257080078]
[598, 0.05051875114440918]
[599, 0.052037954330444336]
[600, 0.05155444145202637]
[601, 0.05253767967224121]
[602, 0.04801487922668457]
[603, 0.05003547668457031]
[604, 0.052556514739990234]
[605, 0.060024261474609375]
[606, 0.06306147575378418]
[607, 0.05053567886352539]
[608, 0.052019357681274414]
[609, 0.04803347587585449]
[610, 0.05203700065612793]
[611, 0.05003476142883301]
[612, 0.050553083419799805]
[613, 0.050516366958618164]
[614, 0.06554675102233887]
[615, 0.056041717529296875]
[616, 0.05155515670776367]
[617, 0.050035953521728516]
[618, 0.05505847930908203]
[619, 0.0525360107421875]
[620, 0.05255627632141113]
[621, 0.05453968048095703]
[622, 0.06202530860900879]
[623, 0.06654739379882812]
[624, 0.06354641914367676]
[625, 0.0575404167175293]
[626, 0.05804038047790527]
[627, 0.055539608001708984]
[628, 0.06154346466064453]
[629, 0.0560603141784668]
[630, 0.06904864311218262]
[631, 0.07055091857910156]
[632, 0.07355213165283203]
[633, 0.06054329872131348]
[634, 0.05755949020385742]
[635, 0.05754208564758301]
[636, 0.056040048599243164]
[637, 0.058058977127075195]
[638, 0.05902361869812012]
[639, 0.056539297103881836]
[640, 0.05453777313232422]
[641, 0.06304574012756348]
[642, 0.07255053520202637]
[643, 0.05954146385192871]
[644, 0.06905031204223633]
[645, 0.08055877685546875]
[646, 0.1030721664428711]
[647, 0.07104921340942383]
[648, 0.07156586647033691]
[649, 0.06154370307922363]
[650, 0.06807136535644531]
[651, 0.06002330780029297]
[652, 0.08706212043762207]
[653, 0.06454730033874512]
[654, 0.060543060302734375]
[655, 0.05956101417541504]
[656, 0.061560869216918945]
[657, 0.0640265941619873]
[658, 0.0795753002166748]
[659, 0.07169938087463379]
[660, 0.12308669090270996]
[661, 0.08055615425109863]
[662, 0.08255767822265625]
[663, 0.06804752349853516]
[664, 0.06254315376281738]
[665, 0.0625452995300293]
[666, 0.08906221389770508]
[667, 0.09404826164245605]
[668, 0.11060142517089844]
[669, 0.07855653762817383]
[670, 0.06554603576660156]
[671, 0.06752824783325195]
[672, 0.06656694412231445]
[673, 0.07155013084411621]
[674, 0.06804871559143066]
[675, 0.06752896308898926]
[676, 0.13209199905395508]
[677, 0.08956265449523926]
[678, 0.14960622787475586]
[679, 0.07155084609985352]
[680, 0.07255244255065918]
[681, 0.07106733322143555]
[682, 0.07705402374267578]
[683, 0.07607531547546387]
[684, 0.1511085033416748]
[685, 0.0980687141418457]
[686, 0.07055044174194336]
[687, 0.06504678726196289]
[688, 0.07657384872436523]
[689, 0.07807421684265137]
[690, 0.0855412483215332]
[691, 0.07407164573669434]
[692, 0.07953739166259766]
[693, 0.06857037544250488]
[694, 0.0950479507446289]
[695, 0.10757565498352051]
[696, 0.12609028816223145]
[697, 0.1270911693572998]
[698, 0.12358713150024414]
[699, 0.11858439445495605]
[700, 0.11708307266235352]
[701, 0.11157941818237305]
[702, 0.10157155990600586]
[703, 0.09006309509277344]
[704, 0.0985708236694336]
[705, 0.09206581115722656]
[706, 0.08556127548217773]
[707, 0.08506011962890625]
[708, 0.07755637168884277]
[709, 0.07255101203918457]
[710, 0.06953215599060059]
[711, 0.08807158470153809]
[712, 0.09856867790222168]
[713, 0.07155108451843262]
[714, 0.069549560546875]
[715, 0.07055115699768066]
[716, 0.08305764198303223]
[717, 0.08956408500671387]
[718, 0.07455325126647949]
[719, 0.07207179069519043]
[720, 0.08055567741394043]
[721, 0.08055567741394043]
[722, 0.08207297325134277]
[723, 0.07105135917663574]
[724, 0.07255005836486816]
[725, 0.07955503463745117]
[726, 0.0840599536895752]
[727, 0.07955622673034668]
[728, 0.10507416725158691]
[729, 0.15961241722106934]
[730, 0.13809895515441895]
[731, 0.0985713005065918]
[732, 0.09006357192993164]
[733, 0.07755446434020996]
[734, 0.07305312156677246]
[735, 0.07705497741699219]
[736, 0.0870809555053711]
[737, 0.07303190231323242]
[738, 0.07657599449157715]
[739, 0.07755303382873535]
[740, 0.10157084465026855]
[741, 0.08305954933166504]
[742, 0.12558770179748535]
[743, 0.1340951919555664]
[744, 0.1005706787109375]
[745, 0.07805562019348145]
[746, 0.10757684707641602]
[747, 0.08906245231628418]
[748, 0.07805609703063965]
[749, 0.0773775577545166]
[750, 0.07903718948364258]
[751, 0.08205819129943848]
[752, 0.08057713508605957]
[753, 0.08203911781311035]
[754, 0.0790560245513916]
[755, 0.07805347442626953]
[756, 0.07955431938171387]
[757, 0.0790550708770752]
[758, 0.08305931091308594]
[759, 0.09956955909729004]
[760, 0.08305692672729492]
[761, 0.08105826377868652]
[762, 0.08153748512268066]
[763, 0.08307862281799316]
[764, 0.0905449390411377]
[765, 0.08055663108825684]
[766, 0.0835413932800293]
[767, 0.08007526397705078]
[768, 0.08356046676635742]
[769, 0.0820772647857666]
[770, 0.08206462860107422]
[771, 0.09204506874084473]
[772, 0.08405756950378418]
[773, 0.08405804634094238]
[774, 0.09056472778320312]
[775, 0.0815572738647461]
[776, 0.08759403228759766]
[777, 0.08205699920654297]
[778, 0.0840606689453125]
[779, 0.08454179763793945]
[780, 0.08607888221740723]
[781, 0.08304119110107422]
[782, 0.08505868911743164]
[783, 0.09859204292297363]
[784, 0.08556079864501953]
[785, 0.08604288101196289]
[786, 0.09758973121643066]
[787, 0.09506464004516602]
[788, 0.09604859352111816]
[789, 0.09658575057983398]
[790, 0.09456586837768555]
[791, 0.09656882286071777]
[792, 0.10509300231933594]
[793, 0.11107444763183594]
[794, 0.13059210777282715]
[795, 0.12208771705627441]
[796, 0.12058544158935547]
[797, 0.12909150123596191]
[798, 0.3857748508453369]
[799, 0.297208309173584]
[800, 0.21515536308288574]
[801, 0.16712379455566406]
[802, 0.18062710762023926]
[803, 0.17812681198120117]
[804, 0.24617481231689453]
[805, 0.21215057373046875]
[806, 0.13759779930114746]
[807, 0.22615933418273926]
[808, 0.2997114658355713]
[809, 0.34424400329589844]
[810, 0.23366522789001465]
[811, 0.2346663475036621]
[812, 0.18563103675842285]
[813, 0.18562984466552734]
[814, 0.22666049003601074]
[815, 0.10157322883605957]
[816, 0.14360380172729492]
[817, 0.2947092056274414]
[818, 0.2726936340332031]
[819, 0.26018381118774414]
[820, 0.10707449913024902]
[821, 0.13609552383422852]
[822, 0.12558913230895996]
[823, 0.14810538291931152]
[824, 0.12108826637268066]
[825, 0.1671161651611328]
[826, 0.1681199073791504]
[827, 0.11708188056945801]
[828, 0.1315913200378418]
[829, 0.11408376693725586]
[830, 0.12758851051330566]
[831, 0.18262934684753418]
[832, 0.13959813117980957]
[833, 0.1606135368347168]
[834, 0.12512683868408203]
[835, 0.17212343215942383]
[836, 0.17662358283996582]
[837, 0.14660358428955078]
[838, 0.16711854934692383]
[839, 0.1966397762298584]
[840, 0.13809847831726074]
[841, 0.1410989761352539]
[842, 0.12909173965454102]
[843, 0.14209985733032227]
[844, 0.1681199073791504]
[845, 0.13459539413452148]
[846, 0.16862082481384277]
[847, 0.15010571479797363]
[848, 0.12659120559692383]
[849, 0.13059520721435547]
[850, 0.11909937858581543]
[851, 0.23164844512939453]
[852, 0.33473825454711914]
[853, 0.32673072814941406]
[854, 0.14760231971740723]
[855, 0.24667572975158691]
[856, 0.2852025032043457]
[857, 0.21465253829956055]
[858, 0.13759779930114746]
[859, 0.11459636688232422]
[860, 0.2086470127105713]
[861, 0.14560341835021973]
[862, 0.15060734748840332]
[863, 0.2636876106262207]
[864, 0.18012690544128418]
[865, 0.12308812141418457]
[866, 0.13859796524047852]
[867, 0.13609647750854492]
[868, 0.1340935230255127]
[869, 0.21165180206298828]
[870, 0.15660834312438965]
[871, 0.15410876274108887]
[872, 0.16161584854125977]
[873, 0.22916436195373535]
[874, 0.2036449909210205]
[875, 0.2571876049041748]
[876, 0.18613219261169434]
[877, 0.20064330101013184]
[878, 0.268690824508667]
[879, 0.24867653846740723]
[880, 0.20014095306396484]
[881, 0.17712688446044922]
[882, 0.13460993766784668]
[883, 0.14058399200439453]
[884, 0.1365973949432373]
[885, 0.16111516952514648]
[886, 0.2011418342590332]
[887, 0.1726229190826416]
[888, 0.18562650680541992]
[889, 0.18713164329528809]
[890, 0.19765400886535645]
[891, 0.16411709785461426]
[892, 0.1751246452331543]
[893, 0.17662739753723145]
[894, 0.17562508583068848]
[895, 0.17312216758728027]
[896, 0.17562460899353027]
[897, 0.2396712303161621]
[898, 0.2396693229675293]
[899, 0.25568270683288574]
[900, 0.2181532382965088]
[901, 0.24617433547973633]
[902, 0.19914007186889648]
[903, 0.26018404960632324]
[904, 0.3782675266265869]
[905, 0.23666739463806152]
[906, 0.30121421813964844]
[907, 0.19213581085205078]
[908, 0.18563079833984375]
[909, 0.21515250205993652]
[910, 0.23316645622253418]
[911, 0.18312954902648926]
[912, 0.24717473983764648]
[913, 0.22015714645385742]
[914, 0.6154375076293945]
[915, 0.30321502685546875]
[916, 0.21120476722717285]
[917, 0.4002838134765625]
[918, 0.165618896484375]
[919, 0.15712594985961914]
[920, 0.17312121391296387]
[921, 0.13459467887878418]
[922, 0.13511395454406738]
[923, 0.2971920967102051]
[924, 0.20714759826660156]
[925, 0.16962766647338867]
[926, 0.1631166934967041]
[927, 0.14711856842041016]
[928, 0.14260196685791016]
[929, 0.1531081199645996]
[930, 0.23316645622253418]
[931, 0.23766803741455078]
[932, 0.17112040519714355]
[933, 0.3857734203338623]
[934, 0.35124897956848145]
[935, 0.2396705150604248]
[936, 0.16411733627319336]
[937, 0.21164941787719727]
[938, 0.24367260932922363]
[939, 0.15012288093566895]
[940, 0.13459467887878418]
[941, 0.14611411094665527]
[942, 0.29120635986328125]
[943, 0.3002133369445801]
[944, 0.22969412803649902]
[945, 0.15711069107055664]
[946, 0.14310145378112793]
[947, 0.1581251621246338]
[948, 0.34924793243408203]
[949, 0.1966419219970703]
[950, 0.1606144905090332]
[951, 0.1796278953552246]
[952, 0.18363070487976074]
[953, 0.3232302665710449]
[954, 0.21515154838562012]
[955, 0.26769018173217773]
[956, 0.2516779899597168]
[957, 0.30321407318115234]
[958, 0.2806992530822754]
[959, 0.47383618354797363]
[960, 0.37976980209350586]
[961, 0.30872464179992676]
[962, 0.4102911949157715]
[963, 0.45682406425476074]
[964, 0.2902064323425293]
[965, 0.3622555732727051]
[966, 0.3762664794921875]
[967, 0.3742659091949463]
[968, 0.3647592067718506]
[969, 0.33724021911621094]
[970, 0.3042175769805908]
[971, 0.296710729598999]
[972, 0.40628838539123535]
[973, 0.32272887229919434]
[974, 0.3002135753631592]
[975, 0.31722426414489746]
[976, 0.3122217655181885]
[977, 0.35375189781188965]
[978, 0.35124897956848145]
[979, 0.25519394874572754]
[980, 0.22816109657287598]
[981, 0.23066473007202148]
[982, 0.28920555114746094]
[983, 0.23166513442993164]
[984, 0.24117088317871094]
[985, 0.2952091693878174]
[986, 0.2742323875427246]
[987, 0.2276630401611328]
[988, 0.22516083717346191]
[989, 0.2371683120727539]
[990, 0.2641880512237549]
[991, 0.24767708778381348]
[992, 0.2371675968170166]
[993, 0.29070544242858887]
[994, 0.27669763565063477]
[995, 0.37776875495910645]
[996, 0.2536804676055908]
[997, 0.26120877265930176]
[998, 0.15962743759155273]
[999, 0.20412969589233398]
[1000, 0.15072369575500488]
[1001, 0.14908647537231445]
[1002, 0.15410995483398438]
[1003, 0.16311979293823242]
